--- Scan at 2026-02-14 11:42:39 ---
PID: 5724 | Name: WmiPrvSE.exe | Threads: 6
PID: 5772 | Name: BlueStacksServices.exe | Threads: 9
PID: 5780 | Name: svchost.exe | Threads: 12
PID: 5824 | Name: mysqld.exe | Threads: 3
PID: 5880 | Name: HPCommRecovery.exe | Threads: 6
PID: 5904 | Name: HPPrintScanDoctorService.exe | Threads: 3
PID: 5968 | Name: msedgewebview2.exe | Threads: 14
PID: 5972 | Name: IntelAudioService.exe | Threads: 5
PID: 5988 | Name: OneApp.IGCC.WinService.exe | Threads: 7
PID: 6004 | Name: svchost.exe | Threads: 6
PID: 6020 | Name: mc-fw-host.exe | Threads: 158
PID: 6028 | Name: MpDefenderCoreService.exe | Threads: 8
PID: 6036 | Name: jhi_service.exe | Threads: 2
PID: 6044 | Name: servicehost.exe | Threads: 85
PID: 6076 | Name: ipf_uf.exe | Threads: 3
PID: 6128 | Name: steamservice.exe | Threads: 4
PID: 6140 | Name: ETDCtrl.exe | Threads: 13
PID: 6172 | Name: svchost.exe | Threads: 5
PID: 6196 | Name: Code.exe | Threads: 30
PID: 6268 | Name: SECOMN64.exe | Threads: 7
PID: 6276 | Name: PhoneExperienceHost.exe | Threads: 14
PID: 6304 | Name: svchost.exe | Threads: 5
PID: 6412 | Name: svchost.exe | Threads: 3
PID: 6428 | Name: RtkAudUService64.exe | Threads: 17
PID: 6444 | Name: urban-vpn-service.exe | Threads: 9
PID: 6480 | Name: MsMpEng.exe | Threads: 54
PID: 6496 | Name: svchost.exe | Threads: 17
PID: 6512 | Name: svchost.exe | Threads: 9
PID: 6532 | Name: WMIRegistrationService.exe | Threads: 2
PID: 6948 | Name: conhost.exe | Threads: 2
PID: 7400 | Name: FileCoAuth.exe | Threads: 6
PID: 7452 | Name: mysqld.exe | Threads: 39
PID: 7688 | Name: svchost.exe | Threads: 2
PID: 7692 | Name: conhost.exe | Threads: 4
PID: 8312 | Name: AdskAccessUIHost.exe | Threads: 23
PID: 8380 | Name: svchost.exe | Threads: 2
PID: 8432 | Name: svchost.exe | Threads: 5
PID: 8492 | Name: BraveCrashHandler.exe | Threads: 3
PID: 8540 | Name: BraveCrashHandler64.exe | Threads: 3
PID: 8700 | Name: uihost.exe | Threads: 65
PID: 8816 | Name: chrome.exe | Threads: 23
PID: 8888 | Name: msedgewebview2.exe | Threads: 24
PID: 9072 | Name: HPSystemEventUtilityBackground.exe | Threads: 8
PID: 9416 | Name: StartMenuExperienceHost.exe | Threads: 15
PID: 9456 | Name: SearchHost.exe | Threads: 14
PID: 9600 | Name: Code.exe | Threads: 7
PID: 9664 | Name: Code.exe | Threads: 54
PID: 9668 | Name: mc-fw-host.exe | Threads: 48
PID: 9764 | Name: WmiPrvSE.exe | Threads: 7
PID: 9768 | Name: ipf_helper.exe | Threads: 4
PID: 9876 | Name: unsecapp.exe | Threads: 2
PID: 10296 | Name: steamwebhelper.exe | Threads: 22
PID: 10356 | Name: svchost.exe | Threads: 3
PID: 10416 | Name: msedgewebview2.exe | Threads: 54
PID: 10428 | Name: gamingservices.exe | Threads: 53
PID: 10528 | Name: chrome.exe | Threads: 25
PID: 10584 | Name: steamwebhelper.exe | Threads: 18
PID: 10620 | Name: AdskIdentityManager.exe | Threads: 25
PID: 10756 | Name: svchost.exe | Threads: 7
PID: 10796 | Name: svchost.exe | Threads: 28
PID: 10868 | Name: svchost.exe | Threads: 4
PID: 10920 | Name: gamingservicesnet.exe | Threads: 38
PID: 11312 | Name: explorer.exe | Threads: 102
PID: 11368 | Name: svchost.exe | Threads: 10
